Number,Region,geoConcpet,Level,schemeID,begTimeValue (Ma),endTimeValue (Ma),Duration (Myr)
1,West Europe,Senonian,Epoch,tswe2019,90.05,66.04,24.01
2,West Europe,Neocomian,Epoch,tswe2019,145.01,130.77,14.24
3,West Europe,Bundsandstein,Epoch,tswe2019,252.4,249.9,2.5
4,West Europe,Zechstein,Epoch,tswe2019,258.96,256.41,2.55
5,West Europe,Rotliegend,Epoch,tswe2019,302.15,260.34,41.81
6,West Europe,Silesian,Epoch,tswe2019,329.06,302.15,26.91
7,West Europe,Dinantian,Epoch,tswe2019,358.94,329.06,29.88
8,West Europe,Ashgill,Epoch,tswe2019,448.84,443.83,5.01
9,West Europe,Caradoc,Epoch,tswe2019,458.36,448.84,9.52
10,West Europe,Llanvirn,Epoch,tswe2019,465.32,458.36,6.96
11,West Europe,Arenig,Epoch,tswe2019,477.72,465.32,12.4
12,West Europe,Tremadoc,Epoch,tswe2019,485.37,477.72,7.65
13,West Europe,Merionethian,Epoch,tswe2019,498.4,485.37,13.03
14,West Europe,Arcadian,Epoch,tswe2019,509,498.4,10.6
15,West Europe,Branchian,Epoch,tswe2019,517,509,8
16,West Europe,Placentian,Epoch,tswe2019,541,517,24
17,West Europe,Saxonian,Age,tswe2019,272.3,260.34,11.96
18,West Europe,Autunian,Age,tswe2019,302.15,286.03,16.12
19,West Europe,Stephanian,Age,tswe2019,307.22,302.15,5.07
20,West Europe,Westphalian,Age,tswe2019,318.65,307.22,11.43
21,West Europe,Namurian,Age,tswe2019,329.06,318.65,10.41
22,West Europe,Visean,Age,tswe2019,346.73,329.06,17.67
23,West Europe,Tournaisian,Age,tswe2019,358.94,346.73,12.21
24,West Europe,Hirnantian,Age,tswe2019,445.23,443.83,1.4
25,West Europe,Rawtheyan,Age,tswe2019,447.02,445.23,1.79
26,West Europe,Cautleyan,Age,tswe2019,447.86,447.02,0.84
27,West Europe,Pusgillian,Age,tswe2019,448.84,447.86,0.98
28,West Europe,Streffordian,Age,tswe2019,451.28,448.84,2.44
29,West Europe,Cheneyan,Age,tswe2019,452.73,451.28,1.45
30,West Europe,Burrellian,Age,tswe2019,456.34,452.73,3.61
31,West Europe,Aurelucian,Age,tswe2019,458.36,456.34,2.02
32,West Europe,Llandeilian,Age,tswe2019,460.45,458.36,2.09
33,West Europe,Abereiddian,Age,tswe2019,465.32,460.45,4.87
34,West Europe,Fennian,Age,tswe2019,469.96,465.32,4.64
35,West Europe,Whitlandian,Age,tswe2019,473.12,469.96,3.16
36,West Europe,Moridunian,Age,tswe2019,477.72,473.12,4.6
37,West Europe,Migneintian,Age,tswe2019,481.55,477.72,3.83
38,West Europe,Cressagian,Age,tswe2019,485.37,481.55,3.82
39,Tethyan,Mittiwali,Age,tste2019,250.96,248.54,2.42
40,Tethyan,Kathwai,Age,tste2019,252.35,250.96,1.39
41,Tethyan,Dorashamian,Age,tste2019,254.15,251.9,2.25
